code,category,family,status,fetched_at
AFMC,Mid-Cap Blend,First Trust,ok,2026-07-19T07:07:46+00:00
AFOS,Large Blend,"ARS Investment Partners, LLC",ok,2026-07-19T07:07:46+00:00
AFRU,Trading--Leveraged Equity,Rex,ok,2026-07-19T07:07:46+00:00
AFSC,Small Blend,abrdn Funds,ok,2026-07-19T07:07:47+00:00
AFSM,Small Blend,First Trust,ok,2026-07-19T07:07:47+00:00
AGEM,Diversified Emerging Mkts,abrdn Funds,ok,2026-07-19T07:07:47+00:00
AGG,Intermediate Core Bond,iShares,ok,2026-07-19T07:07:47+00:00
AGGA,Multisector Bond,Astoria Investment Management,ok,2026-07-19T07:07:47+00:00
AGGH,Intermediate Core Bond,Simplify Asset Management,ok,2026-07-19T07:07:47+00:00
AGGS,Intermediate Core-Plus Bond,Harbor Capital Advisors Inc,ok,2026-07-19T07:07:47+00:00
AGGY,Intermediate Core Bond,WisdomTree,ok,2026-07-19T07:07:48+00:00
AGIX,Technology,KraneShares,ok,2026-07-19T07:07:48+00:00
AGIQ,,,empty,2026-07-19T07:07:48+00:00
AGMI,Equity Precious Metals,Themes ETF Trust,ok,2026-07-19T07:07:48+00:00
AGNG,Health,Global X Funds,ok,2026-07-19T07:07:48+00:00
AGOX,Tactical Allocation,Adaptive ETF,ok,2026-07-19T07:07:48+00:00
AGQ,Trading--Leveraged Commodities,ProShares,ok,2026-07-19T07:07:48+00:00
AGQI,Global Large-Stock Value,First Trust,ok,2026-07-19T07:07:48+00:00
AGRH,Ultrashort Bond,iShares,ok,2026-07-19T07:07:49+00:00
AGRW,Large Growth,Allspring Global Investments,ok,2026-07-19T07:07:49+00:00
AGZ,Short Government,iShares,ok,2026-07-19T07:07:49+00:00
AGZD,Nontraditional Bond,WisdomTree,ok,2026-07-19T07:07:49+00:00
AHD,Derivative Income,Graniteshares,ok,2026-07-19T07:07:49+00:00
AHLT,Systematic Trend,American Beacon,ok,2026-07-19T07:07:49+00:00
AIA,Pacific/Asia ex-Japan Stk,iShares,ok,2026-07-19T07:07:50+00:00
AHYB,High Yield Bond,American Century Investments,ok,2026-07-19T07:07:50+00:00
AIBD,Trading--Inverse Equity,Direxion Funds,ok,2026-07-19T07:07:50+00:00
AIEQ,Mid-Cap Blend,Amplify ETFs,ok,2026-07-19T07:07:50+00:00
AIFD,Technology,TCW,ok,2026-07-19T07:07:50+00:00
AIBU,Trading--Leveraged Equity,Direxion Funds,ok,2026-07-19T07:07:50+00:00
AIMS,Small Blend,Acuitas Investments,ok,2026-07-19T07:07:50+00:00
AINT,,,empty,2026-07-19T07:07:50+00:00
AINP,Multisector Bond,Allspring Global Investments,ok,2026-07-19T07:07:50+00:00
AIPI,Derivative Income,Rex,ok,2026-07-19T07:07:51+00:00
AIOO,Defined Outcome,AllianzIM,ok,2026-07-19T07:07:51+00:00
AIPO,Technology,Defiance ETFs LLC,ok,2026-07-19T07:07:51+00:00
AIQ,Technology,Global X Funds,ok,2026-07-19T07:07:51+00:00
AIRR,Industrials,First Trust,ok,2026-07-19T07:07:51+00:00
AIS,Technology,VistaShares Advisors LLC,ok,2026-07-19T07:07:51+00:00
AIUP,Large Blend,Tidal Investments LLC,ok,2026-07-19T07:07:52+00:00
AIVC,Technology,Amplify ETFs,ok,2026-07-19T07:07:52+00:00
AIVI,Foreign Large Value,WisdomTree,ok,2026-07-19T07:07:52+00:00
AIVL,Mid-Cap Value,WisdomTree,ok,2026-07-19T07:07:52+00:00
AIX,Technology,Defiance ETFs LLC,ok,2026-07-19T07:07:52+00:00
AIYY,Derivative Income,YieldMax ETFs,ok,2026-07-19T07:07:52+00:00
AJAN,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:07:52+00:00
AKAF,Global Large-Stock Blend,AKAF,ok,2026-07-19T07:07:52+00:00
AJUL,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:07:53+00:00
AKRE,Large Growth,Akre,ok,2026-07-19T07:07:53+00:00
ALA,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:07:53+00:00
ALAI,Technology,Alger,ok,2026-07-19T07:07:53+00:00
ALBG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:53+00:00
ALDB,Defined Outcome,APTUS ETFs,ok,2026-07-19T07:07:53+00:00
ALIL,Small Blend,Argent,ok,2026-07-19T07:07:53+00:00
ALLW,Tactical Allocation,State Street Investment Management,ok,2026-07-19T07:07:54+00:00
ALRG,Large Blend,Allspring Global Investments,ok,2026-07-19T07:07:54+00:00
ALTL,Large Blend,Pacer,ok,2026-07-19T07:07:54+00:00
AMA,Trading--Leveraged Equity,Defiance ETFs LLC,ok,2026-07-19T07:07:54+00:00
ALTY,Global Moderate Allocation,Global X Funds,ok,2026-07-19T07:07:54+00:00
AMAA,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:07:54+00:00
AMAU,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:54+00:00
AMAX,Nontraditional Bond,Adaptive ETF,ok,2026-07-19T07:07:54+00:00
AMDC,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:07:55+00:00
AMDD,Trading--Inverse Equity,Direxion Funds,ok,2026-07-19T07:07:55+00:00
AMDG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:55+00:00
AMDL,Trading--Leveraged Equity,Graniteshares,ok,2026-07-19T07:07:55+00:00
AMDW,Trading--Miscellaneous,Roundhill Investments,ok,2026-07-19T07:07:55+00:00
AMDY,Derivative Income,YieldMax ETFs,ok,2026-07-19T07:07:55+00:00
AMEM,Diversified Emerging Mkts,Saturna Capital Corporation,ok,2026-07-19T07:07:55+00:00
AMEI,Large Value,Saturna Capital Corporation,ok,2026-07-19T07:07:55+00:00
AMGR,Large Growth,Saturna Capital Corporation,ok,2026-07-19T07:07:56+00:00
AMHI,,,empty,2026-07-19T07:07:56+00:00
AMID,Mid-Cap Blend,Argent,ok,2026-07-19T07:07:56+00:00
AMJB,Energy Limited Partnership,JPMorgan,ok,2026-07-19T07:07:56+00:00
AMKL,Trading--Leveraged Equity,Defiance ETFs LLC,ok,2026-07-19T07:07:56+00:00
AMLP,Energy Limited Partnership,ALPS,ok,2026-07-19T07:07:56+00:00
AMKX,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:07:56+00:00
AMOM,Large Growth,Exchange Traded Concepts,ok,2026-07-19T07:07:57+00:00
AMPU,Trading--Leveraged Equity,Defiance ETFs LLC,ok,2026-07-19T07:07:57+00:00
AMUB,Energy Limited Partnership,UBS,ok,2026-07-19T07:07:57+00:00
AMUU,Trading--Leveraged Equity,Direxion Funds,ok,2026-07-19T07:07:57+00:00
AMYY,Derivative Income,Graniteshares,ok,2026-07-19T07:07:57+00:00
AMZA,Energy Limited Partnership,Virtus,ok,2026-07-19T07:07:57+00:00
AMZD,Trading--Inverse Equity,Direxion Funds,ok,2026-07-19T07:07:57+00:00
AMZG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:07:58+00:00
AMZP,Derivative Income,Kurv Investment Management LLC,ok,2026-07-19T07:07:58+00:00
AMZO,Trading--Inverse Equity,AXS,ok,2026-07-19T07:07:58+00:00
AMZU,Trading--Leveraged Equity,Direxion Funds,ok,2026-07-19T07:07:58+00:00
