code,name,issuer,index,market,leverage,hedge
459790,KIWOOM 미국성장기업30액티브,KIWOOM,RUSSELL2000,US,1.0,unhedged
0153X0,PLUS 미국고배당주액티브,PLUS,US_DIVIDEND,US,1.0,unhedged
275280,KODEX 모멘텀주,KODEX,KOSPI200,KR,1.0,none
183700,RISE 채권혼합,RISE,KR_MIXED_STOCK_BOND,KR,1.0,none
483420,ACE 애플밸류체인액티브,ACE,KR_GLOBAL_VALUECHAIN,GLOBAL,1.0,unhedged
415340,KODEX 차이나과창판STAR50(합성),KODEX,CHINA_STAR50,CHINA,1.0,unhedged
483240,TIGER 미국나스닥100ETF선물,TIGER,NASDAQ100,US,1.0,unhedged
472840,ITF 200,ITF,KOSPI200,KR,1.0,none
272570,RISE 중장기국공채액티브,RISE,KR_TREASURY,KR,1.0,none
0036D0,TIME 미국배당다우존스액티브,TIME,DJ_US_DIVIDEND,US,1.0,unhedged
195970,PLUS 선진국MSCI(합성 H),PLUS,MSCI_WORLD,GLOBAL,1.0,hedge
483570,KCGI 미국S&P500 TOP10,KCGI,SP500,US,1.0,unhedged
460660,RISE 미국S&P배당킹,RISE,SP500_DIVIDEND,US,1.0,unhedged
289480,TIGER 200커버드콜,TIGER,KOSPI200,KR,1.0,none
226980,KODEX 200 중소형,KODEX,KOSPI200,KR,1.0,none
491830,TIGER 미국AI반도체팹리스,TIGER,US_AI,US,1.0,unhedged
253290,RISE 헬스케어채권혼합,RISE,KR_BIO,KR,1.0,none
223190,KODEX 200가치저변동,KODEX,KOSPI200,KR,1.0,none
407310,HANARO 200 TOP10,HANARO,KOSPI200,KR,1.0,none
252000,TIGER 200동일가중,TIGER,KOSPI200,KR,1.0,none
396510,TIGER 차이나클린에너지SOLACTIVE,TIGER,CHINA,CHINA,1.0,unhedged
138530,TIGER LG그룹플러스,TIGER,KR_CONGLOMERATE,KR,1.0,none
236350,TIGER 인도니프티50레버리지(합성),TIGER,INDIA_NIFTY50,INDIA,2.0,unhedged
371150,RISE 차이나항셍테크,RISE,CHINA_HSCEI,CHINA,1.0,unhedged
332620,PLUS 미국장기우량회사채,PLUS,US_CORPORATE,US,1.0,unhedged
463300,RISE 중국본토CSI300,RISE,CHINA_CSI300,CHINA,1.0,unhedged
0067Y0,TIGER 차이나AI소프트웨어,TIGER,CHINA,CHINA,1.0,unhedged
145850,TREX 펀더멘탈 200,TREX,KOSPI200,KR,1.0,none
442090,에셋플러스 코리아대장장이액티브,에셋플러스,KOSPI200,KR,1.0,none
445690,BNK 주주가치액티브,BNK,KR_VALUE,KR,1.0,none
465660,TIGER 일본반도체FACTSET,TIGER,JAPAN_TOPIX,JAPAN,1.0,unhedged
489000,PLUS 일본엔화초단기국채(합성),PLUS,KR_TREASURY,KR,1.0,none
450190,KODEX 한중반도체(합성),KODEX,KR_SEMICONDUCTOR,KR,1.0,none
275290,KODEX 가치주,KODEX,KOSPI200,KR,1.0,none
277540,ACE 아시아TOP50,ACE,MSCI_EM,GLOBAL,1.0,unhedged
457690,KODEX 33-06 국고채액티브,KODEX,KR_TREASURY,KR,1.0,none
446690,KODEX 아시아AI반도체exChina액티브,KODEX,US_SEMICONDUCTOR,GLOBAL,1.0,unhedged
091220,TIGER 은행,TIGER,KR_SECTOR,KR,1.0,none
169950,KODEX 차이나A50,KODEX,CHINA,CHINA,1.0,unhedged
0089B0,PLUS 미국나스닥100미국채혼합50,PLUS,US_MIXED,US,1.0,unhedged
0047P0,RISE 테슬라고정테크100,RISE,KR_MIXED_STOCK_BOND,KR,1.0,none
417630,TIGER KEDI혁신기업ESG30,TIGER,KR_ESG,KR,1.0,none
371450,TIGER 글로벌클라우드컴퓨팅INDXX,TIGER,TECH_INNOVATION,GLOBAL,1.0,unhedged
419650,PLUS 글로벌수소&차세대연료전지,PLUS,HYDROGEN,GLOBAL,1.0,unhedged
433220,에셋플러스 글로벌대장장이액티브,에셋플러스,MSCI_WORLD,GLOBAL,1.0,unhedged
385600,ACE 2차전지&친환경차액티브,ACE,KR_BATTERY,KR,1.0,none
464920,PLUS 일본반도체소부장,PLUS,JAPAN_TOPIX,JAPAN,1.0,unhedged
0049K0,ACE 미국배당퀄리티채권혼합50,ACE,US_COVERED_CALL,US,1.0,unhedged
102960,KODEX 기계장비,KODEX,KR_SECTOR,KR,1.0,none
185680,KODEX 미국S&P바이오(합성),KODEX,SP500_BIO,US,1.0,unhedged
496120,ACE 코리아밸류업,ACE,KR_VALUEUP,KR,1.0,none
391670,HK 베스트일레븐액티브,HK,KOSPI200,KR,1.0,none
440340,TIGER 글로벌멀티에셋TIF액티브,TIGER,MSCI_WORLD,GLOBAL,1.0,unhedged
387280,TIGER 퓨처모빌리티액티브,TIGER,AUTONOMOUS,GLOBAL,1.0,unhedged
0051A0,KoAct 브로드컴밸류체인액티브,KoAct,KR_GLOBAL_VALUECHAIN,GLOBAL,1.0,unhedged
445910,TIGER MKF배당귀족,TIGER,KR_DIVIDEND,KR,1.0,none
404260,KODEX 기후변화솔루션,KODEX,CLEAN_ENERGY,KR,1.0,none
448490,HANARO 32-10 국고채액티브,HANARO,KR_TREASURY,KR,1.0,none
292500,SOL KRX300,SOL,KRX300,KR,1.0,none
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),KIWOOM,US_TREASURY_30Y,US,1.0,hedge
469790,KIWOOM K-테크TOP10,KIWOOM,KR_TECH,KR,1.0,none
292160,TIGER KRX300,TIGER,KRX300,KR,1.0,none
491510,파워 K-주주가치액티브,파워,KR_VALUE,KR,1.0,none
468370,KODEX iShares미국인플레이션국채액티브,KODEX,US_CORPORATE,US,1.0,unhedged
477490,에셋플러스 글로벌일등기업포커스10액티브,에셋플러스,MSCI_WORLD,GLOBAL,1.0,unhedged
0153P0,ACE 리츠부동산인프라액티브,ACE,KR_REIT,KR,1.0,none
364690,KODEX 혁신기술테마액티브,KODEX,TECH_INNOVATION,KR,1.0,none
498050,HANARO 바이오코리아액티브,HANARO,KR_BIO,KR,1.0,none
159800,마이티 코스피100,마이티,KOSPI200,KR,1.0,none
453820,KODEX 인도Nifty50레버리지(합성),KODEX,INDIA_NIFTY50,INDIA,2.0,unhedged
453630,KODEX 미국S&P500필수소비재,KODEX,SP500_STAPLES,US,1.0,unhedged
213630,PLUS 미국다우존스고배당주(합성 H),PLUS,DJ_US_DIVIDEND,US,1.0,hedge
449580,RISE 테슬라애플아마존채권혼합,RISE,KR_MIXED_STOCK_BOND,KR,1.0,none
276000,TIGER 글로벌자원생산기업(합성 H),TIGER,RARE_EARTH,GLOBAL,1.0,hedge
407820,에셋플러스 코리아플랫폼액티브,에셋플러스,KR_TECH,KR,1.0,none
0115C0,RISE 미국고배당다우존스TOP10,RISE,DJ_US_DIVIDEND,US,1.0,unhedged
0028X0,KODEX 미국금융테크액티브,KODEX,SP500_FINANCIALS,US,1.0,unhedged
376410,TIGER 탄소효율그린뉴딜,TIGER,CLEAN_ENERGY,KR,1.0,none
461910,PLUS 미국테크TOP10레버리지(합성),PLUS,US_TECH,US,2.0,unhedged
453010,PLUS KOFR금리,PLUS,KR_MONEY_MARKET,KR,1.0,none
250730,RISE 차이나HSCEI(H),RISE,CHINA_HSCEI,CHINA,1.0,hedge
375760,HANARO 탄소효율그린뉴딜,HANARO,CLEAN_ENERGY,KR,1.0,none
469050,RISE 미국반도체NYSE(H),RISE,US_SEMICONDUCTOR,US,1.0,hedge
301400,PLUS 코스닥150,PLUS,KOSDAQ150,KR,1.0,none
337150,KODEX 200exTOP,KODEX,KOSPI200,KR,1.0,none
461900,PLUS 미국테크TOP10,PLUS,US_TECH,US,1.0,unhedged
494420,PLUS 미국배당증가성장주데일리커버드콜,PLUS,US_COVERED_CALL,US,1.0,unhedged
